Duty No.,Board No.,Sign ON,Stop ON,Time ON,Time OFF,Stop OFF,Sign OFF,Paid Time,Spread Time,Service
0214,"S253
S204","06:54
16:16","ST
StinB","07:06
16:20","11:30
19:14","StinN
ST","11:34
19:19",07:43,12:25,"358
23"
0215,"S207
S136","06:21
13:40","ST
STDEP PK","06:33
13:42","08:55
18:43","StinB
ST","08:59
18:48",07:46,12:27,"25
192"
0216,"S123
S209","06:00
15:03","ST
StinD","06:12
15:07","10:13
18:20","aa
StinB","10:20
18:29",07:46,12:29,"192
25"
0216,"S123
S209","06:00
15:03","ST
StinD","06:12
15:07","10:13
18:20","aa
StinB","10:20
18:29",07:46,12:29,23
0217,"S218
S141P","06:35
15:44","ST
ST","06:47
15:54","11:10
18:48","StinC
ST","11:14
18:53",07:48,12:18,"197
191"
0217,"S218
S141P","06:35
15:44","ST
ST","06:47
15:54","11:10
18:48","StinC
ST","11:14
18:53",07:48,12:18,192
0218,"S136
S255","06:03
14:36","ST
StinP","06:15
14:40","10:16
18:05","STDEP PK
ST","10:17
18:10",07:48,12:07,"192
378"
0218,"S136
S255","06:03
14:36","ST
StinP","06:15
14:40","10:16
18:05","STDEP PK
ST","10:17
18:10",07:48,12:07,379
0219,"S805
S145","06:42
15:53","ST
StinL","06:54
15:57","11:09
19:06","StinL
STDEP PK","11:13
19:11",07:49,12:29,"330
330"
0219,"S805
S145","06:42
15:53","ST
StinL","06:54
15:57","11:09
19:06","StinL
STDEP PK","11:13
19:11",07:49,12:29,314
0220,"S126
S235","06:37
14:56","ST
StinR","06:49
15:00","10:26
18:51","STDEP PK
ST","10:27
18:56",07:50,12:19,"192
11"
0221,"S211
S203","06:29
15:38","ST
StinD","06:41
15:42","11:07
18:45","StinD
ST","11:11
18:50",07:54,12:21,"25
25"
0221,"S211
S203","06:29
15:38","ST
StinD","06:41
15:42","11:07
18:45","StinD
ST","11:11
18:50",07:54,12:21,23
0222,"S148A
S112","06:01
14:08","ST
bb","06:13
14:15","10:21
17:35","ST
aa","10:22
17:47",08:00,11:46,322
0222,"S148A
S112","06:01
14:08","ST
bb","06:13
14:15","10:21
17:35","ST
aa","10:22
17:47",08:00,11:46,327
0222,"S148A
S112","06:01
14:08","ST
bb","06:13
14:15","10:21
17:35","ST
aa","10:22
17:47",08:00,11:46,191
0222,"S148A
S112","06:01
14:08","ST
bb","06:13
14:15","10:21
17:35","ST
aa","10:22
17:47",08:00,11:46,"192
192"
0223,"S224
S139P","06:14
15:15","ST
ST","06:26
15:25","10:55
18:18","StinJ
aa","10:59
18:30",08:00,12:16,"327
192"
0224,"S205
S223","08:04
14:21","ST
StinJ","08:16
14:25","11:00
19:19","StinB
ST","11:04
19:24",08:03,11:20,"23
322"
0224,"S205
S223","08:04
14:21","ST
StinJ","08:16
14:25","11:00
19:19","StinB
ST","11:04
19:24",08:03,11:20,327
0225,"S210
S125","07:41
14:25","ST
aa","07:53
14:32","10:37
19:23","StinD
STDEP PK","10:41
19:28",08:03,11:47,"25
192"
0226,"S201
S137P
Relief car 1","06:49
14:03
19:02","ST
ST
bb","07:01
14:13
19:02","09:40
19:02
19:07","StinB
bb
ST","09:44
19:02
19:12",08:04,12:23,"23
192
Relief Vehicle"
0227,"S244
S140P","06:29
14:46","ST
ST","06:41
14:56","10:21
18:53","STDEP PK
STDEP PK","10:22
18:58",08:05,12:29,"11
192"
0228,"S227
S254","07:09
14:31","ST
StinN","07:21
14:35","10:20
19:20","StinK
ST","10:24
19:25",08:09,12:16,312
0228,"S227
S254","07:09
14:31","ST
StinN","07:21
14:35","10:20
19:20","StinK
ST","10:24
19:25",08:09,12:16,"383
358"
0228,"S227
S254","07:09
14:31","ST
StinN","07:21
14:35","10:20
19:20","StinK
ST","10:24
19:25",08:09,12:16,191
0229,"S257
S201","06:14
14:56","ST
StinB","06:26
15:00","11:10
18:01","StinP
ST","11:14
18:06",08:10,11:52,378
0229,"S257
S201","06:14
14:56","ST
StinB","06:26
15:00","11:10
18:01","StinP
ST","11:14
18:06",08:10,11:52,"379
23"
0229,"S257
S201","06:14
14:56","ST
StinB","06:26
15:00","11:10
18:01","StinP
ST","11:14
18:06",08:10,11:52,25
0230,"S303
S213","06:04
14:33","ST
StinD","06:16
14:37","10:55
17:40","StinM
StinB","10:59
17:49",08:11,11:45,"325
25"
0230,"S303
S213","06:04
14:33","ST
StinD","06:16
14:37","10:55
17:40","StinM
StinB","10:59
17:49",08:11,11:45,23
0231,"S234
S236","06:44
15:16","ST
StinR","06:56
15:20","10:55
19:08","StinP
ST","10:59
19:13",08:12,12:29,"374
11"
0232,"S245
S801","06:59
14:41","ST
StinL","07:11
14:45","11:00
18:48","StinR
ST","11:04
18:53",08:17,11:54,"11
330"
0233,"S118
S804","07:12
15:41","ST
StinL","07:24
15:45","11:23
19:35","aa
ST","11:30
19:40",08:17,12:28,330
0233,"S118
S804","07:12
15:41","ST
StinL","07:24
15:45","11:23
19:35","aa
ST","11:30
19:40",08:17,12:28,191
0233,"S118
S804","07:12
15:41","ST
StinL","07:24
15:45","11:23
19:35","aa
ST","11:30
19:40",08:17,12:28,"192
330"
0234,"S809A
S231","06:23
14:26","ST
StinK","06:35
14:30","10:20
18:42","ST
ST","10:21
18:47",08:19,12:24,"330
384"
0234,"S809A
S231","06:23
14:26","ST
StinK","06:35
14:30","10:20
18:42","ST
ST","10:21
18:47",08:19,12:24,327
0235,"S804
S116","06:23
14:55","ST
aa","06:35
15:02","10:45
18:48","StinL
STDEP PK","10:49
18:53",08:24,12:30,"330
192"
0236,"S130A
S249P","07:01
14:41","ST
ST","07:13
14:51","11:01
19:01","ST
ST","11:02
19:06",08:26,12:05,"192
197"
0236,"S130A
S249P","07:01
14:41","ST
ST","07:13
14:51","11:01
19:01","ST
ST","11:02
19:06",08:26,12:05,191
0236,"S130A
S249P","07:01
14:41","ST
ST","07:13
14:51","11:01
19:01","ST
ST","11:02
19:06",08:26,12:05,327
0236,"S130A
S249P","07:01
14:41","ST
ST","07:13
14:51","11:01
19:01","ST
ST","11:02
19:06",08:26,12:05,322
0237,"S139A
S227","06:48
14:16","ST
StinK","07:00
14:20","10:14
19:11","ST
ST","10:15
19:16",08:27,12:28,"192
383"
0237,"S139A
S227","06:48
14:16","ST
StinK","07:00
14:20","10:14
19:11","ST
ST","10:15
19:16",08:27,12:28,374
0238,"S152
S246","06:44
14:20","ST
STDEP PK","06:56
14:22","10:25
18:59","StinH
ST","10:29
19:04",08:29,12:20,"314
25"
0239,"S125
S244","06:15
14:16","ST
StinR","06:27
14:20","10:33
18:15","aa
ST","10:40
18:20",08:29,12:05,"192
11"
0301,"S233
S104","07:44
12:47","ST
bb","07:56
12:54","11:55
17:38","StinP
bb","11:59
17:50",09:36,10:06,"374
192"
0302,"S212
S303","07:20
12:31","ST
StinM","07:32
12:35","11:37
17:28","StinD
ST","11:41
17:33",09:43,10:13,191
0302,"S212
S303","07:20
12:31","ST
StinM","07:32
12:35","11:37
17:28","StinD
ST","11:41
17:33",09:43,10:13,"25
325"
0303,"S217
S110","08:26
13:47","ST
bb","08:38
13:54","12:50
18:27","StinC
bb","12:54
18:39",09:43,10:13,"197
192"
0304,"S226
S135","08:24
13:30","StinK
STDEP PK","08:30
13:32","12:40
18:33","StinK
ST","12:44
18:38",09:44,10:14,384
0304,"S226
S135","08:24
13:30","StinK
STDEP PK","08:30
13:32","12:40
18:33","StinK
ST","12:44
18:38",09:44,10:14,"383
192"
0311,"S107
S207","08:48
14:16","bb
StinB","08:57
14:20","13:24
18:53","bb
ST","13:31
18:58",09:40,10:10,"192
23"
0311,"S107
S207","08:48
14:16","bb
StinB","08:57
14:20","13:24
18:53","bb
ST","13:31
18:58",09:40,10:10,25
0311,"S107
S207","08:48
14:16","bb
StinB","08:57
14:20","13:24
18:53","bb
ST","13:31
18:58",09:40,10:10,384
0312,"S120
S233","08:51
13:51","bb
StinP","09:00
13:55","12:58
18:58","bb
ST","13:05
19:03",09:42,10:12,"192
374"
0312,"S120
S233","08:51
13:51","bb
StinP","09:00
13:55","12:58
18:58","bb
ST","13:05
19:03",09:42,10:12,383
0321,"S134
S154P","10:08
16:00","STDEP PK
ST","10:12
16:11","15:04
20:14","aa
ST","15:11
20:19",09:41,10:11,"192
314"
0322,"S802
S221","10:03
15:46","StinL
StinP","10:09
15:50","14:57
20:10","StinL
ST","15:01
20:15",09:42,10:12,"330
312"
0331,"S127
S116","13:58
19:49","STDEP PK
STDEP PK","14:02
19:51","18:57
23:55","STDEP PK
ST","18:58
24:00",09:32,10:02,"192
312"
0331,"S127
S116","13:58
19:49","STDEP PK
STDEP PK","14:02
19:51","18:57
23:55","STDEP PK
ST","18:58
24:00",09:32,10:02,197
0331,"S127
S116","13:58
19:49","STDEP PK
STDEP PK","14:02
19:51","18:57
23:55","STDEP PK
ST","18:58
24:00",09:32,10:02,374
0401,"S126
S147","13:48
16:29","STDEP PK
StinL","13:52
16:33","15:33
20:38","aa
STDEP PK","15:40
20:43",06:25,06:55,"192
330"
0401,"S126
S147","13:48
16:29","STDEP PK
StinL","13:52
16:33","15:33
20:38","aa
STDEP PK","15:40
20:43",06:25,06:55,11
0402,"S218
S132
Relief car 3","13:04
16:01
20:33","StinC
bb
bb","13:10
16:08
20:33","15:10
20:33
20:38","StinC
bb
ST","15:14
20:33
20:43",07:09,07:39,"197
192
Relief Vehicle"
0403,"S121
S209","12:59
18:16","bb
StinB","13:08
18:20","17:22
20:36","bb
ST","17:29
20:41",07:12,07:42,"192
23"
0404,"S147
S153","13:51
17:21","StinL
StinH","13:57
17:25","16:33
21:29","StinL
ST","16:37
21:34",07:13,07:43,"330
314"
0404,"S147
S153","13:51
17:21","StinL
StinH","13:57
17:25","16:33
21:29","StinL
ST","16:37
21:34",07:13,07:43,11
0405,"S242
Relief car 1
S133
Relief car 2","13:34
18:30
18:35
21:11","StinR
ST
bb
aa","13:40
18:32
18:35
21:11","17:40
18:35
21:11
21:17","StinR
bb
aa
ST","17:44
18:35
21:11
21:22",07:18,07:48,"11
Relief Vehicle
192
Relief Vehicle"
0406,"S115
S225","12:44
18:06","aa
StinK","12:53
18:10","17:15
20:28","aa
ST","17:22
20:33",07:19,07:49,"192
384"
0407,"S803
S214","12:39
15:56","StinL
StinC","12:45
16:00","15:09
20:25","StinL
ST","15:13
20:30",07:21,07:51,"330
197"
0408,"S301
Relief car 1
S124
Relief car 2","12:59
18:42
18:47
20:41","StinM
ST
aa
aa","13:05
18:44
18:47
20:41","17:58
18:47
20:41
20:47","ST
aa
aa
ST","17:59
18:47
20:41
20:52",07:23,07:53,"325
Relief Vehicle
192
Relief Vehicle"
0409,"S219
Relief car 1
S137P
Relief car 1","13:24
18:57
19:02
21:16","StinC
ST
bb
aa","13:30
18:59
19:02
21:16","18:00
19:02
21:16
21:22","StinC
bb
aa
ST","18:04
19:02
21:16
21:27",07:33,08:03,"197
Relief Vehicle
192
Relief Vehicle"
0410,"S221
S108","12:44
16:38","StinP
aa","12:50
16:45","15:50
20:43","StinP
ST","15:54
20:48",07:34,08:04,"312
192"
0411,"S131
S240","12:48
16:51","STDEP PK
StinN","12:52
16:55","15:58
20:53","bb
ST","16:05
20:58",07:40,08:10,"192
358"
0412,"S120
S216","12:49
16:36","bb
StinC","12:58
16:40","15:40
20:55","aa
ST","15:47
21:00",07:41,08:11,"192
197"
0413,"S239
S112","12:34
17:28","StinR
aa","12:40
17:35","16:40
20:43","StinR
ST","16:44
20:48",07:44,08:14,"11
192"
0414,"S234
S113","12:49
17:48","StinP
aa","12:55
17:55","17:00
21:01","StinR
ST","17:04
21:06",07:47,08:17,"374
192"
0415,"S216
S104
Relief car 1","12:24
17:31
20:31","StinC
bb
aa","12:30
17:38
20:31","16:40
20:31
20:37","StinC
aa
ST","16:44
20:31
20:42",07:48,08:18,"197
192
Relief Vehicle"
0416,"S808
S208","12:03
17:53","StinL
StinD","12:09
17:57","17:05
20:17","StinL
ST","17:09
20:22",07:49,08:19,"330
25"
0417,"S256
S219","13:34
17:56","StinP
StinC","13:40
18:00","17:00
21:51","StinP
ST","17:04
21:56",07:52,08:22,378
0417,"S256
S219","13:34
17:56","StinP
StinC","13:40
18:00","17:00
21:51","StinP
ST","17:04
21:56",07:52,08:22,"379
197"
0418,"S801
S126","12:15
15:26","StinL
aa","12:21
15:33","14:45
20:34","StinL
STDEP PK","14:49
20:39",07:54,08:24,"330
192"
0419,"S237
S232","11:54
16:26","StinR
StinK","12:00
16:30","15:42
20:17","STDEP PK
ST","15:43
20:22",07:58,08:28,"11
384"
0419,"S237
S232","11:54
16:26","StinR
StinK","12:00
16:30","15:42
20:17","STDEP PK
ST","15:43
20:22",07:58,08:28,23
0420,"S236
S105","11:34
16:08","StinR
aa","11:40
16:15","15:20
19:57","StinR
STDEP PK","15:24
20:02",07:58,08:28,"11
192"
0421,"S222
S202","11:44
15:36","StinP
StinB","11:50
15:40","14:50
20:08","StinP
ST","14:54
20:13",07:59,08:29,"312
23"
0421,"S222
S202","11:44
15:36","StinP
StinB","11:50
15:40","14:50
20:08","StinP
ST","14:54
20:13",07:59,08:29,25
0422,"S806
S213","11:39
17:36","StinL
StinB","11:45
17:40","16:45
20:04","StinL
ST","16:49
20:09",08:00,08:30,"330
23"
0423,"S153
S138P","13:04
18:14","StinH
aa","13:10
18:21","17:25
21:32","StinH
ST","17:29
21:37",08:03,08:33,"314
192"
0424,"S103
S118","12:35
16:45","bb
bb","12:44
16:52","15:55
21:05","aa
ST","16:02
21:10",08:05,08:35,"192
192"
0424,"S103
S118","12:35
16:45","bb
bb","12:44
16:52","15:55
21:05","aa
ST","16:02
21:10",08:05,08:35,23
0425,"S150
S102","12:49
17:12","StinM
bb","12:55
17:19","16:15
21:22","StinM
ST","16:19
21:27",08:08,08:38,"325
192"
0426,"S238
S115
Relief car 1","12:14
17:08
20:43","StinR
aa
bb","12:20
17:15
20:43","16:20
20:43
20:48","StinR
bb
ST","16:24
20:43
20:53",08:09,08:39,"11
192
Relief Vehicle"
0427,"S228
S121
Relief car 1","13:14
17:15
21:42","StinK
bb
aa","13:20
17:22
21:42","16:20
21:42
21:48","StinK
aa
ST","16:24
21:42
21:53",08:09,08:39,"383
192
Relief Vehicle"
0428,"S215
S241","12:04
17:16","StinC
StinR","12:10
17:20","16:20
20:39","StinC
ST","16:24
20:44",08:10,08:40,"197
11"
0429,"S118
S129","12:29
17:46","bb
aa","12:38
17:53","16:52
21:04","bb
ST","16:59
21:09",08:10,08:40,"192
192"
0430,"S231
S122
Relief car 3","11:44
15:13
20:16","StinK
bb
aa","11:50
15:20
20:16","14:30
20:16
20:22","StinK
aa
ST","14:34
20:16
20:27",08:13,08:43,"384
192
Relief Vehicle"
0431,"S208
S123
Relief car 2","11:54
15:24
20:26","StinB
bb
aa","12:00
15:31
20:26","14:40
20:26
20:32","StinB
aa
ST","14:44
20:26
20:37",08:13,08:43,"23
192
Relief Vehicle"
0432,"S201
S103","12:14
15:48","StinB
aa","12:20
15:55","15:00
20:53","StinB
STDEP PK","15:04
20:58",08:14,08:44,"23
192"
0432,"S201
S103","12:14
15:48","StinB
aa","12:20
15:55","15:00
20:53","StinB
STDEP PK","15:04
20:58",08:14,08:44,330
0433,"S214
S807","11:44
16:51","StinC
StinL","11:50
16:55","16:00
20:23","StinC
ST","16:04
20:28",08:14,08:44,"197
330"
0434,"S101
S107","13:09
18:00","aa
bb","13:18
18:07","17:09
21:52","bb
ST","17:16
21:57",08:18,08:48,"192
192"
0435,"S203
S117
Relief car 2","12:54
16:34
21:32","StinB
bb
aa","13:00
16:41
21:32","15:42
21:32
21:38","StinD
aa
ST","15:46
21:32
21:43",08:19,08:49,23
0435,"S203
S117
Relief car 2","12:54
16:34
21:32","StinB
bb
aa","13:00
16:41
21:32","15:42
21:32
21:38","StinD
aa
ST","15:46
21:32
21:43",08:19,08:49,"25
192
Relief Vehicle"
0436,"S807
S106","11:51
17:51","StinL
bb","11:57
17:58","16:55
20:37","StinL
STDEP PK","16:59
20:42",08:21,08:51,"330
192"
0437,"S132
S101","12:58
17:02","STDEP PK
bb","13:02
17:09","16:08
21:49","bb
ST","16:15
21:54",08:26,08:56,"192
192"
0437,"S132
S101","12:58
17:02","STDEP PK
bb","13:02
17:09","16:08
21:49","bb
ST","16:15
21:54",08:26,08:56,325
0501,"S142P
Relief car 1
S115","15:22
20:38
20:43","ST
ST
bb","15:34
20:40
20:43","19:59
20:43
22:32","STDEP PK
bb
ST","20:00
20:43
22:37",06:45,07:15,"330
Relief Vehicle
192"
0502,"S251P
S130P
Relief car 1","14:42
18:03
21:52","ST
bb
bb","14:54
18:10
21:52","17:04
21:52
21:57","ST
bb
ST","17:05
21:52
22:02",06:50,07:20,191
0502,"S251P
S130P
Relief car 1","14:42
18:03
21:52","ST
bb
bb","14:54
18:10
21:52","17:04
21:52
21:57","ST
bb
ST","17:05
21:52
22:02",06:50,07:20,"197
192
Relief Vehicle"
0503,"S802
S110
Relief car 1","14:51
18:20
22:02","StinL
bb
bb","14:57
18:27
22:02","17:25
22:02
22:07","StinL
bb
ST","17:29
22:02
22:12",06:51,07:21,"330
192
Relief Vehicle"
0504,"S808
Relief car 1
S110","16:59
21:57
22:02","StinL
ST
bb","17:05
21:59
22:02","21:13
22:02
24:18","ST
bb
ST","21:14
22:02
24:23",06:54,07:24,"330
Relief Vehicle
192"
0505,"S102
S139P
Relief car 2","14:36
18:11
21:52","bb
aa
aa","14:45
18:18
21:52","17:19
21:52
21:58","bb
aa
ST","17:26
21:52
22:03",06:57,07:27,"192
192
Relief Vehicle"
0506,"S150
Relief car 1
S130P","16:09
21:47
21:52","StinM
ST
bb","16:15
21:49
21:52","20:54
21:52
24:11","ST
bb
ST","20:55
21:52
24:16",07:37,08:07,325
0506,"S150
Relief car 1
S130P","16:09
21:47
21:52","StinM
ST
bb","16:15
21:49
21:52","20:54
21:52
24:11","ST
bb
ST","20:55
21:52
24:16",07:37,08:07,"314
Relief Vehicle
192"
0507,"S238
S128","16:14
20:39","StinR
STDEP PK","16:20
20:41","19:53
24:33","ST
ST","19:54
24:38",07:54,08:24,"11
330"
0507,"S238
S128","16:14
20:39","StinR
STDEP PK","16:20
20:41","19:53
24:33","ST
ST","19:54
24:38",07:54,08:24,325
0507,"S238
S128","16:14
20:39","StinR
STDEP PK","16:20
20:41","19:53
24:33","ST
ST","19:54
24:38",07:54,08:24,11
0508,"S120
S111","15:31
20:04","aa
STDEP PK","15:40
20:06","19:19
23:53","STDEP PK
ST","19:20
23:58",07:57,08:27,"192
23"
0508,"S120
S111","15:31
20:04","aa
STDEP PK","15:40
20:06","19:19
23:53","STDEP PK
ST","19:20
23:58",07:57,08:27,358
0509,"S217
S140P","15:19
19:19","ST
STDEP PK","15:21
19:21","18:32
23:42","ST
ST","18:33
23:47",07:58,08:28,"23
11"
0509,"S217
S140P","15:19
19:19","ST
STDEP PK","15:21
19:21","18:32
23:42","ST
ST","18:33
23:47",07:58,08:28,327
0509,"S217
S140P","15:19
19:19","ST
STDEP PK","15:21
19:21","18:32
23:42","ST
ST","18:33
23:47",07:58,08:28,314
0510,"S144
S145","15:15
20:24","StinL
STDEP PK","15:21
20:26","19:44
23:41","STDEP PK
ST","19:45
23:46",08:01,08:31,"330
384"
0510,"S144
S145","15:15
20:24","StinL
STDEP PK","15:21
20:26","19:44
23:41","STDEP PK
ST","19:45
23:46",08:01,08:31,25
0511,"S210
S131","15:54
20:44","StinB
STDEP PK","16:00
20:46","20:04
24:28","ST
ST","20:05
24:33",08:09,08:39,23
0511,"S210
S131","15:54
20:44","StinB
STDEP PK","16:00
20:46","20:04
24:28","ST
ST","20:05
24:33",08:09,08:39,"327
374"
0511,"S210
S131","15:54
20:44","StinB
STDEP PK","16:00
20:46","20:04
24:28","ST
ST","20:05
24:33",08:09,08:39,378A
0511,"S210
S131","15:54
20:44","StinB
STDEP PK","16:00
20:46","20:04
24:28","ST
ST","20:05
24:33",08:09,08:39,384
0512,"S128
Relief car 3
S132","15:25
20:28
20:33","bb
ST
bb","15:34
20:30
20:33","19:48
20:33
23:59","STDEP PK
bb
ST","19:49
20:33
24:04",08:09,08:39,"192
Relief Vehicle
192"
0512,"S128
Relief car 3
S132","15:25
20:28
20:33","bb
ST
bb","15:34
20:30
20:33","19:48
20:33
23:59","STDEP PK
bb
ST","19:49
20:33
24:04",08:09,08:39,11
0513,"S131
S106","15:49
21:09","bb
STDEP PK","15:58
21:11","20:31
24:24","STDEP PK
ST","20:32
24:29",08:10,08:40,"192
330"
0513,"S131
S106","15:49
21:09","bb
STDEP PK","15:58
21:11","20:31
24:24","STDEP PK
ST","20:32
24:29",08:10,08:40,325
0514,"S149P
S125","15:29
20:09","ST
STDEP PK","15:41
20:11","19:23
24:05","ST
ST","19:24
24:10",08:11,08:41,"11
330"
0514,"S149P
S125","15:29
20:09","ST
STDEP PK","15:41
20:11","19:23
24:05","ST
ST","19:24
24:10",08:11,08:41,325
0514,"S149P
S125","15:29
20:09","ST
STDEP PK","15:41
20:11","19:23
24:05","ST
ST","19:24
24:10",08:11,08:41,312
0515,"S226
S146","15:14
20:34","StinK
STDEP PK","15:20
20:36","19:55
23:52","ST
ST","19:56
23:57",08:13,08:43,383
0515,"S226
S146","15:14
20:34","StinK
STDEP PK","15:20
20:36","19:55
23:52","ST
ST","19:56
23:57",08:13,08:43,"374
25"
0515,"S226
S146","15:14
20:34","StinK
STDEP PK","15:20
20:36","19:55
23:52","ST
ST","19:56
23:57",08:13,08:43,330
0516,"S218
Relief car 1
S104","15:04
20:26
20:31","StinC
ST
aa","15:10
20:28
20:31","19:48
20:31
23:43","ST
aa
ST","19:49
20:31
23:48",08:14,08:44,"197
Relief Vehicle
192"
0516,"S218
Relief car 1
S104","15:04
20:26
20:31","StinC
ST
aa","15:10
20:28
20:31","19:48
20:31
23:43","ST
aa
ST","19:49
20:31
23:48",08:14,08:44,330
0517,"S220
Relief car 2
S123","15:14
20:21
20:26","StinP
ST
aa","15:20
20:23
20:26","19:42
20:26
23:53","ST
aa
ST","19:43
20:26
23:58",08:14,08:44,"312
Relief Vehicle
192"
0518,"S124
Relief car 1
S114","14:13
18:47
19:39","aa
aa
STDEP PK","14:22
18:47
19:41","18:47
18:53
22:53","aa
ST
ST","18:47
18:53
22:58",08:15,08:45,"192
Relief Vehicle
383"
0518,"S124
Relief car 1
S114","14:13
18:47
19:39","aa
aa
STDEP PK","14:22
18:47
19:41","18:47
18:53
22:53","aa
ST
ST","18:47
18:53
22:58",08:15,08:45,314
0518,"S124
Relief car 1
S114","14:13
18:47
19:39","aa
aa
STDEP PK","14:22
18:47
19:41","18:47
18:53
22:53","aa
ST
ST","18:47
18:53
22:58",08:15,08:45,358
0519,"S133
Relief car 1
S127","14:45
18:35
19:24","aa
bb
STDEP PK","14:54
18:35
19:26","18:35
18:40
23:28","bb
ST
ST","18:35
18:40
23:33",08:18,08:48,"192
Relief Vehicle
378A"
0519,"S133
Relief car 1
S127","14:45
18:35
19:24","aa
bb
STDEP PK","14:54
18:35
19:26","18:35
18:40
23:28","bb
ST
ST","18:35
18:40
23:33",08:18,08:48,384
0520,"S252P
Relief car 3
S122","15:44
20:11
20:16","ST
ST
aa","15:56
20:13
20:16","19:32
20:16
24:28","ST
aa
ST","19:33
20:16
24:33",08:19,08:49,327
0520,"S252P
Relief car 3
S122","15:44
20:11
20:16","ST
ST
aa","15:56
20:13
20:16","19:32
20:16
24:28","ST
aa
ST","19:33
20:16
24:33",08:19,08:49,383
0520,"S252P
Relief car 3
S122","15:44
20:11
20:16","ST
ST
aa","15:56
20:13
20:16","19:32
20:16
24:28","ST
aa
ST","19:33
20:16
24:33",08:19,08:49,"378A
Relief Vehicle
192"
0521,"S803
S119","15:03
20:00","StinL
ST","15:09
20:01","19:13
23:47","ST
ST","19:14
23:52",08:19,08:49,"330
327"
0521,"S803
S119","15:03
20:00","StinL
ST","15:09
20:01","19:13
23:47","ST
ST","19:14
23:52",08:19,08:49,314
0521,"S803
S119","15:03
20:00","StinL
ST","15:09
20:01","19:13
23:47","ST
ST","19:14
23:52",08:19,08:49,197
0522,"S302
Relief car 2
S133","15:39
21:06
21:11","StinM
ST
aa","15:45
21:08
21:11","20:24
21:11
24:28","ST
aa
ST","20:25
21:11
24:33",08:24,08:54,"325
Relief Vehicle
192"
0531,"S243
Relief car 1
S121","17:54
21:37
21:42","StinR
ST
aa","18:00
21:39
21:42","20:59
21:42
24:58","ST
aa
ST","21:00
21:42
25:03",06:39,07:09,"11
Relief Vehicle
192"
0532,"S256
Relief car 2
S117","16:54
21:27
21:32","StinP
ST
aa","17:00
21:29
21:32","20:47
21:32
24:48","ST
aa
ST","20:48
21:32
24:53",07:29,07:59,378
0532,"S256
Relief car 2
S117","16:54
21:27
21:32","StinP
ST
aa","17:00
21:29
21:32","20:47
21:32
24:48","ST
aa
ST","20:48
21:32
24:53",07:29,07:59,"25
Relief Vehicle
192"
0533,"S148P
S144","16:49
20:09","ST
STDEP PK","17:01
20:11","19:19
24:43","ST
ST","19:20
24:48",07:29,07:59,"197
314"
0533,"S148P
S144","16:49
20:09","ST
STDEP PK","17:01
20:11","19:19
24:43","ST
ST","19:20
24:48",07:29,07:59,312
0533,"S148P
S144","16:49
20:09","ST
STDEP PK","17:01
20:11","19:19
24:43","ST
ST","19:20
24:48",07:29,07:59,358
0534,"S239
S147","16:34
20:44","StinR
STDEP PK","16:40
20:46","20:06
24:37","ST
ST","20:07
24:42",07:38,08:08,"11
325"
0534,"S239
S147","16:34
20:44","StinR
STDEP PK","16:40
20:46","20:06
24:37","ST
ST","20:07
24:42",07:38,08:08,384
0534,"S239
S147","16:34
20:44","StinR
STDEP PK","16:40
20:46","20:06
24:37","ST
ST","20:07
24:42",07:38,08:08,25
0535,"S809P
S126","16:46
20:59","ST
STDEP PK","16:58
21:01","20:14
24:54","ST
ST","20:15
24:59",07:43,08:13,"330
327"
0535,"S809P
S126","16:46
20:59","ST
STDEP PK","16:58
21:01","20:14
24:54","ST
ST","20:15
24:59",07:43,08:13,330
0535,"S809P
S126","16:46
20:59","ST
STDEP PK","16:58
21:01","20:14
24:54","ST
ST","20:15
24:59",07:43,08:13,325
0536,"S247P
S120","16:34
19:54","ST
STDEP PK","16:46
19:56","19:09
24:48","ST
ST","19:10
24:53",07:49,08:19,322
0536,"S247P
S120","16:34
19:54","ST
STDEP PK","16:46
19:56","19:09
24:48","ST
ST","19:10
24:53",07:49,08:19,"384
330"
0536,"S247P
S120","16:34
19:54","ST
STDEP PK","16:46
19:56","19:09
24:48","ST
ST","19:10
24:53",07:49,08:19,312
0536,"S247P
S120","16:34
19:54","ST
STDEP PK","16:46
19:56","19:09
24:48","ST
ST","19:10
24:53",07:49,08:19,23
0537,"S806
Relief car 2
S139P","16:39
21:47
21:52","StinL
ST
aa","16:45
21:49
21:52","20:44
21:52
24:55","ST
aa
ST","20:45
21:52
25:00",07:51,08:21,"330
Relief Vehicle
192"
0538,"S228
S105","16:14
20:09","StinK
STDEP PK","16:20
20:11","19:18
24:42","ST
ST","19:19
24:47",08:03,08:33,383
0538,"S228
S105","16:14
20:09","StinK
STDEP PK","16:20
20:11","19:18
24:42","ST
ST","19:19
24:47",08:03,08:33,"312
358"
0538,"S228
S105","16:14
20:09","StinK
STDEP PK","16:20
20:11","19:18
24:42","ST
ST","19:19
24:47",08:03,08:33,23
0538,"S228
S105","16:14
20:09","StinK
STDEP PK","16:20
20:11","19:18
24:42","ST
ST","19:19
24:47",08:03,08:33,314
0539,"S146
S134","16:15
20:39","StinL
STDEP PK","16:21
20:41","19:59
24:52","STDEP PK
ST","20:00
24:57",08:12,08:42,"330
383"
